97,映画トロピカル~ジュ! プリキュア プチ とびこめ! コラボ♡ダンスパーティ!,SPRING,FINISHED,2
98,Bakugan: Geogan Rising,SPRING,RELEASING,3
99,WONDER EGG PRIORITY: My Priority,SPRING,FINISHED,420
101,Heaven's Design Team: Idea 13,SPRING,FINISHED,22
102,わしも-wasimo-(第9シリーズ),SPRING,RELEASING,0
103,Yasuke,SPRING,FINISHED,175
104,異世界魔王と召喚少女の奴隷魔術Ω ミニアニメ,SPRING,FINISHED,9
105,Miss Kobayashi's Dragon Maid S Short Animation Series,SPRING,FINISHED,199
106,night world,SPRING,FINISHED,39
107,ちびりべ,SPRING,FINISHED,83
108,青い羽みつけた！,SPRING,FINISHED,0
109,おしりたんてい (第5シリーズ),SPRING,FINISHED,0
110,七ヶ浜でみつけた,SPRING,FINISHED,2
111,物語を君へ。#2 -不可解弐Q2 エンディングアニメーション-,SPRING,FINISHED,11
112,Snack Time!,SPRING,RELEASING,9
113,人間回収車,SPRING,RELEASING,3
114,あんさんぶるスターズ！！ 5th Anniversary ANIMATION PV,SPRING,FINISHED,13
115,Artiswitch (アーティスウィッチ),SPRING,FINISHED,60
116,ゆるキャン△ SEASON 2 OVA,SPRING,FINISHED,25
117,ぶるりふ・れいっ！,SPRING,FINISHED,1
118,ピーピングライフ12th anniversary,SPRING,FINISHED,0
119,コロコロアニマルおとぎばなし,SPRING,FINISHED,0
120,キミの好きに出会おう。 ,SPRING,FINISHED,2
121,ハイパーポジティブよごれモン,SPRING,FINISHED,1
122,Obey Me! Anime Special: Devildom Family Trip!,SPRING,FINISHED,11
123,Cogimyun 2nd ,SPRING,FINISHED,0
151,劇場版 Free!–the Final Stroke– 前編,SUMMER,FINISHED,128
152,Words Bubble Up Like Soda Pop,SUMMER,FINISHED,972
153,Miss Kobayashi's Dragon Maid S,SUMMER,FINISHED,2997
154,Life Lessons with Uramichi Oniisan,SUMMER,FINISHED,855
155,リョーマ! 新生劇場版テニスの王子様,SUMMER,FINISHED,6
156,Remake Our Life!,SUMMER,FINISHED,1018
157,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,SUMMER,FINISHED,299
158,Love Live! Superstar!!,SUMMER,FINISHED,487
159,それいけ！アンパンマン ふわふわフワリーと雲の国,SUMMER,NOT_YET_RELEASED,0
160,BanG Dream! FILM LIVE 2nd Stage,SUMMER,FINISHED,13
161,きんいろモザイク Thank you!!,SUMMER,FINISHED,14
162,100日間生きたワニ,SUMMER,FINISHED,1
163,That Time I Got Reincarnated as a Slime Season 2 Part 2,SUMMER,FINISHED,4198
164,Fate/Grand Order Final Singularity - Grand Temple of Time: Solomon,SUMMER,FINISHED,92
165,Magia Record: Puella Magi Madoka Magica Side Story Season 2 -The Eve of Awakening-,SUMMER,FINISHED,100
166,How a Realist Hero Rebuilt the Kingdom,SUMMER,FINISHED,904
167,BanG Dream! Episode of Roselia II: Song I am.,SUMMER,FINISHED,38
168,Mother of the Goddess’ Dormitory,SUMMER,FINISHED,468
169,Fate/kaleid liner Prisma☆Illya: Licht Nameless Girl,SUMMER,FINISHED,53
170,My Next Life as a Villainess: All Routes Lead to Doom! X,SUMMER,FINISHED,596
171,The Dungeon of Black Company,SUMMER,FINISHED,469
172,Fena: Pirate Princess,SUMMER,FINISHED,412
173,The Idaten Deities Know Only Peace,SUMMER,FINISHED,562
174,Peach Boy Riverside,SUMMER,FINISHED,437
175,Resident Evil: Infinite Darkness,SUMMER,FINISHED,47
176,TSUKIMICHI -Moonlit Fantasy-,SUMMER,FINISHED,1296
177,Kageki Shojo!!,SUMMER,FINISHED,330
178,ゲッターロボ アーク,SUMMER,FINISHED,23
179,The House of the Lost on the Cape,SUMMER,FINISHED,12
180,NIGHT HEAD 2041,SUMMER,FINISHED,116
181,TSUKIPRO THE ANIMATION 2,SUMMER,RELEASING,10
182,Battle Game in 5 Seconds,SUMMER,FINISHED,424
183,アリス・ギア・アイギス ～ドキッ！アクトレスだらけのマーメイドグランプリ♥～,SUMMER,FINISHED,7
184,Girlfriend, Girlfriend,SUMMER,FINISHED,989
185,Seirei Gensouki: Spirit Chronicles,SUMMER,FINISHED,1123
186,My Hero Academia: World Heroes' Mission,SUMMER,FINISHED,749
187,KAKUSHIGOTO Theatrical Edition,SUMMER,FINISHED,74
188,BELLE,SUMMER,FINISHED,271
189,I'm Standing on a Million Lives Season 2,SUMMER,FINISHED,291
190,TONIKAWA: Over The Moon For You ~SNS~,SUMMER,FINISHED,487
191,The Honor at Magic High School,SUMMER,FINISHED,259
192,IDOLiSH7 Third BEAT!,SUMMER,FINISHED,105
193,The Aquatope on White Sand,SUMMER,RELEASING,433
194,アサルトリリィ ふるーつ,SUMMER,RELEASING,13
195,The Detective Is Already Dead,SUMMER,FINISHED,1075
196,The Seven Deadly Sins: Cursed by Light,SUMMER,FINISHED,183
198,The Duke of Death and His Maid,SUMMER,FINISHED,719
199,I, Tsushima,SUMMER,FINISHED,41
200,RE-MAIN,SUMMER,FINISHED,388
202,The Ancient Magus' Bride: The Boy from the West and the Knight of the Blue Storm,SUMMER,RELEASING,125
203,D_CIDE TRAUMEREI THE ANIMATION,SUMMER,FINISHED,41
204,Higurashi: When They Cry - SOTSU,SUMMER,FINISHED,343
205,Scarlet Nexus,SUMMER,RELEASING,252
206,The Case Study of Vanitas,SUMMER,FINISHED,2203
207,Obey Me!,SUMMER,RELEASING,341
208,Sonny Boy,SUMMER,FINISHED,1268
211,『Ｇのレコンギスタ Ⅲ』「宇宙からの遺産」,SUMMER,FINISHED,0
212,深海のサバイバル！,SUMMER,FINISHED,1
213,The Great Jahy Will Not Be Defeated!,SUMMER,RELEASING,520
214,映画おしりたんてい スフーレ島のひみつ,SUMMER,FINISHED,0
215,NOMAD メガロボクス2『ハチドリと旅人。』,SUMMER,FINISHED,11
217,よしまほ,SUMMER,FINISHED,7
